mini    1.90
kinderbakje 2.20
klein   2.50
middel  2.70
groot   3.20
extra groot 4.40
supertje    7.20
julien  7.0
rombout 7.50
ANSBEKE 6.50
MISS PIGGY  6.50
BEA NIJS    6.50
CHEVROLET   6.50
LA VITA E BELLA 6.50
SOMBRERO    6.50
TRUMP   6.50
SELFIE  6.50
BAMBINO 6.50
THE BEAST   9.90
hamburger   3.20
long chicken    4.70
el chapo    4.70
long fish   4.70
long mexican    4.70
joppieburger    4.70
bicky rib   4.70
chickenburger   3.80
bicky troutje   3.50
bicky double cheese troutje 3.80
fish burger 3.80
big bacon   4.70
big pepper  4.70
breydelspekburger   4.70
veggieburger    4.70
bbq-burger  4.70
tomaat-garnaal  12.50
slaatje met kaas en garnaalkroket   9.90
slaatje met vinnaigrette    3.50
hammetje    12.90
volauvent   3.70
stoverij    3.70
balletjes   3.70
spaghetti   7.50
Frikandel   1.80
Frikandel speciaal  2.20
viandel 2.10
viandel speciaal    2.50
spicy viandel   2.10
spicy viandel speciaal  2.50
chix    3.00
bitterballen    2.40
boulet  1.80
boulet speciaal 2.10
lookworst   2.90
lookworst speciaal  3.30
kippeboutjes    3.30
apero mix   7.50
ardeense sate   3.00
bamischijf  3.10
chilli cheese nuggets   2.80
fishcorn    3.00
fishstick   3.00
garnaalkroket   3.70
goulashkroket   2.60
grizly  3.50
hot twister troutje 3.30
kaaskroket  2.40
kaassoufle  2.00
kipcorn 2.10
kipnuggets  3.00
loempia kip 3.30
loempia veggie  3.30
mammoet 2.40
mexicano    2.70
mini-loempias   3.00
mini-lucifer    2.80
mosselen (potje)    2.90
mozzarella fingers  3.00
pikanto 2.70
ragouzi 2.40
sate met paprika 4.20
sate gewoon 3.90
reuzesate (enkel op vrijdag)    4.70
taco    3.30
vleeskroket 2.60
vuurvreter  2.70
zigeunerstick   2.50
chix glutenvrij 3.00
frikandel glutenvrij    1.80
garnaalkroket glutenvrij    3.70
kaaskroket glutenvrij   2.40µ
mayo    0.80
verse tartaar   1.00
tomateketchup   0.80
curryketchup    0.80
potje stoofvleessaus    1.40
dubbel potje stoofvleessaus 2.60
versche cocktail    0.90
joppie  0.90
andalouse   0.80
zoute frietsaus 0.80
americain   0.80
bearnaise   0.90
gedroogde ui    0.80
gele bickysaus  0.80
hot ketchup 0.80
looksaus    0.90
mammoetsaus 0.80
mosterd 0.80
pepersaus   0.90
pickels 1.00
pikante loempiasaus 0.90
samurai 0.80
saus troutje    0.90
speciaal tom    1.80
speciaal cur    1.80
toscaanse saus  0.90
verse ui    0.80
zigeunersaus    0.90
ziveruitjes 0.90
zoetzure loempiasaus 0.90
zwarte pepersaus    0.90
